Tempo (s)	Tensão (V)
-0.99526793	2.708
-0.99447171	2.708
-0.9936755	2.648
-0.99287928	2.708
-0.99208307	2.408
-0.99128685	2.648
-0.99049064	2.528
-0.98969443	2.468
-0.98889821	2.408
-0.988102	2.228
-0.98730578	2.288
-0.98650957	2.348
-0.98571335	2.168
-0.98491714	2.228
-0.98412093	2.168
-0.98332471	1.988
-0.9825285	2.108
-0.98173228	1.928
-0.98093607	1.928
-0.98013985	1.988
-0.97934364	1.748
-0.97854743	1.808
-0.97775121	1.688
-0.976955	1.568
-0.97615878	1.628
-0.97536257	1.508
-0.97456635	1.568
-0.97377014	1.448
-0.97297392	1.328
-0.97217771	1.448
-0.9713815	1.208
-0.97058528	1.268
-0.96978907	1.148
-0.96899285	1.088
-0.96819664	1.028
-0.96740042	1.088
-0.96660421	1.028
-0.965808	0.968
-0.96501178	0.848
-0.96421557	0.908
-0.96341935	0.848
-0.96262314	0.728
-0.96182692	0.728
-0.96103071	0.668
-0.9602345	0.548
-0.95943828	0.548
-0.95864207	0.308
-0.95784585	0.428
-0.95704964	0.308
-0.95625342	0.428
-0.95545721	0.368
-0.95466099	0.248
-0.95386478	0.128
-0.95306857	0.188
-0.95227235	0.128
-0.95147614	-0.052
-0.95067992	-0.052
-0.94988371	-0.112
-0.94908749	-0.112
-0.94829128	-0.292
-0.94749507	-0.292
-0.94669885	-0.292
-0.94590264	-0.412
-0.94510642	-0.412
-0.94431021	-0.532
-0.94351399	-0.472
-0.94271778	-0.532
-0.94192157	-0.532
-0.94112535	-0.652
-0.94032914	-0.652
-0.93953292	-0.832
-0.93873671	-0.832
-0.93794049	-0.892
-0.93714428	-0.892
-0.93634807	-0.952
-0.93555185	-1.012
-0.93475564	-1.072
-0.93395942	-1.072
-0.93316321	-1.252
-0.93236699	-1.192
-0.93157078	-1.252
-0.93077456	-1.492
-0.92997835	-1.432
-0.92918214	-1.492
-0.92838592	-1.432
-0.92758971	-1.552
-0.92679349	-1.432
-0.92599728	-1.492
-0.92520106	-1.732
-0.92440485	-1.672
-0.92360864	-1.852
-0.92281242	-1.732
-0.92201621	-1.912
-0.92121999	-1.852
-0.92042378	-1.972
-0.91962756	-2.032
-0.91883135	-2.032
-0.91803514	-2.212
-0.91723892	-2.092
-0.91644271	-2.152
-0.91564649	-2.272
-0.91485028	-2.272
-0.91405406	-2.272
-0.91325785	-2.392
-0.91246163	-2.452
-0.91166542	-2.512
-0.91086921	-2.452
-0.91007299	-2.572
-0.90927678	-2.632
-0.90848056	-2.752
-0.90768435	-2.632
-0.90688813	-2.812
-0.90609192	-2.812
-0.90529571	-2.752
-0.90449949	-2.872
-0.90370328	-2.992
-0.90290706	-2.932
-0.90211085	-3.052
-0.90131463	-3.172
-0.90051842	-3.112
-0.89972221	-3.292
-0.89892599	-2.992
-0.89812978	-3.232
-0.89733356	-3.232
-0.89653735	-3.232
-0.89574113	-3.472
-0.89494492	-3.352
-0.89414871	-3.472
-0.89335249	-3.472
-0.89255628	-3.412
-0.89176006	-3.532
-0.89096385	-3.472
-0.89016763	-3.592
-0.88937142	-3.712
-0.8885752	-3.772
-0.88777899	-3.652
-0.88698278	-3.652
-0.88618656	-3.832
-0.88539035	-3.712
-0.88459413	-3.892
-0.88379792	-3.832
-0.8830017	-3.892
-0.88220549	-3.952
-0.88140928	-3.892
-0.88061306	-3.892
-0.87981685	-4.072
-0.87902063	-4.132
-0.87822442	-4.072
-0.8774282	-4.252
-0.87663199	-4.252
-0.87583578	-4.252
-0.87503956	-4.312
-0.87424335	-4.372
-0.87344713	-4.372
-0.87265092	-4.372
-0.8718547	-4.372
-0.87105849	-4.432
-0.87026227	-4.192
-0.86946606	-4.372
-0.86866985	-4.492
-0.86787363	-4.492
-0.86707742	-4.552
-0.8662812	-4.552
-0.86548499	-4.612
-0.86468877	-4.612
-0.86389256	-4.672
-0.86309635	-4.732
-0.86230013	-4.672
-0.86150392	-4.612
-0.8607077	-4.732
-0.85991149	-4.852
-0.85911527	-4.852
-0.85831906	-4.732
-0.85752285	-4.732
-0.85672663	-4.672
-0.85593042	-4.852
-0.8551342	-4.792
-0.85433799	-4.732
-0.85354177	-4.972
-0.85274556	-4.792
-0.85194934	-4.972
-0.85115313	-4.972
-0.85035692	-4.972
-0.8495607	-4.972
-0.84876449	-4.912
-0.84796827	-4.852
-0.84717206	-4.972
-0.84637584	-4.972
-0.84557963	-5.032
-0.84478342	-5.212
-0.8439872	-5.092
-0.84319099	-4.972
-0.84239477	-5.152
-0.84159856	-5.092
-0.84080234	-5.032
-0.84000613	-5.092
-0.83920992	-5.152
-0.8384137	-5.032
-0.83761749	-5.152
-0.83682127	-5.212
-0.83602506	-5.152
-0.83522884	-5.152
-0.83443263	-5.032
-0.83363642	-5.032
-0.8328402	-5.212
-0.83204399	-5.212
-0.83124777	-5.272
-0.83045156	-5.212
-0.82965534	-5.212
-0.82885913	-5.212
-0.82806291	-5.212
-0.8272667	-5.212
-0.82647049	-5.152
-0.82567427	-5.272
-0.82487806	-5.092
-0.82408184	-5.212
-0.82328563	-5.212
-0.82248941	-5.332
-0.8216932	-5.152
-0.82089699	-5.152
-0.82010077	-5.272
-0.81930456	-5.092
-0.81850834	-5.152
-0.81771213	-5.212
-0.81691591	-5.152
-0.8161197	-5.152
-0.81532349	-5.212
-0.81452727	-5.152
-0.81373106	-5.092
-0.81293484	-5.152
-0.81213863	-5.212
-0.81134241	-5.032
-0.8105462	-5.092
-0.80974998	-5.152
-0.80895377	-5.092
-0.80815756	-4.972
-0.80736134	-5.152
-0.80656513	-5.032
-0.80576891	-5.032
-0.8049727	-4.912
-0.80417648	-5.032
-0.80338027	-5.032
-0.80258406	-4.912
-0.80178784	-4.912
-0.80099163	-4.912
-0.80019541	-4.972
-0.7993992	-4.972
-0.79860298	-4.852
-0.79780677	-4.852
-0.79701056	-4.792
-0.79621434	-4.852
-0.79541813	-4.672
-0.79462191	-4.672
-0.7938257	-4.852
-0.79302948	-4.852
-0.79223327	-4.792
-0.79143706	-4.612
-0.79064084	-4.672
-0.78984463	-4.612
-0.78904841	-4.552
-0.7882522	-4.672
-0.78745598	-4.612
-0.78665977	-4.552
-0.78586355	-4.552
-0.78506734	-4.612
-0.78427113	-4.612
-0.78347491	-4.492
-0.7826787	-4.432
-0.78188248	-4.432
-0.78108627	-4.432
-0.78029005	-4.492
-0.77949384	-4.372
-0.77869763	-4.252
-0.77790141	-4.192
-0.7771052	-4.132
-0.77630898	-4.072
-0.77551277	-4.132
-0.77471655	-4.132
-0.77392034	-4.072
-0.77312413	-4.132
-0.77232791	-4.012
-0.7715317	-3.952
-0.77073548	-4.072
-0.76993927	-3.892
-0.76914305	-3.832
-0.76834684	-3.952
-0.76755062	-3.892
-0.76675441	-3.892
-0.7659582	-3.832
-0.76516198	-3.712
-0.76436577	-3.832
-0.76356955	-3.592
-0.76277334	-3.592
-0.76197712	-3.712
-0.76118091	-3.592
-0.7603847	-3.472
-0.75958848	-3.532
-0.75879227	-3.352
-0.75799605	-3.352
-0.75719984	-3.292
-0.75640362	-3.232
-0.75560741	-3.412
-0.7548112	-3.232
-0.75401498	-3.112
-0.75321877	-3.232
-0.75242255	-3.172
-0.75162634	-3.052
-0.75083012	-3.052
-0.75003391	-2.992
-0.74923769	-2.992
-0.74844148	-2.872
-0.74764527	-2.752
-0.74684905	-2.752
-0.74605284	-2.632
-0.74525662	-2.752
-0.74446041	-2.752
-0.74366419	-2.572
-0.74286798	-2.572
-0.74207177	-2.632
-0.74127555	-2.512
-0.74047934	-2.392
-0.73968312	-2.332
-0.73888691	-2.332
-0.73809069	-2.272
-0.73729448	-2.392
-0.73649827	-2.212
-0.73570205	-2.212
-0.73490584	-2.152
-0.73410962	-2.092
-0.73331341	-2.032
-0.73251719	-1.972
-0.73172098	-1.972
-0.73092477	-1.852
-0.73012855	-1.852
-0.72933234	-1.912
-0.72853612	-1.852
-0.72773991	-1.672
-0.72694369	-1.672
-0.72614748	-1.612
-0.72535126	-1.492
-0.72455505	-1.492
-0.72375884	-1.432
-0.72296262	-1.492
-0.72216641	-1.372
-0.72137019	-1.252
-0.72057398	-1.252
-0.71977776	-1.132
-0.71898155	-1.012
-0.71818534	-0.952
-0.71738912	-1.072
-0.71659291	-1.072
-0.71579669	-0.652
-0.71500048	-0.892
-0.71420426	-0.892
-0.71340805	-0.712
-0.71261184	-0.772
-0.71181562	-0.772
-0.71101941	-0.592
-0.71022319	-0.592
-0.70942698	-0.412
-0.70863076	-0.592
-0.70783455	-0.472
-0.70703833	-0.352
-0.70624212	-0.412
-0.70544591	-0.292
-0.70464969	-0.232
-0.70385348	-0.172
-0.70305726	-0.052
-0.70226105	-0.052
-0.70146483	-0.112
-0.70066862	0.188
-0.69987241	0.128
-0.69907619	0.248
-0.69827998	0.188
-0.69748376	0.188
-0.69668755	0.308
-0.69589133	0.308
-0.69509512	0.368
-0.69429891	0.488
-0.69350269	0.488
-0.69270648	0.488
-0.69191026	0.608
-0.69111405	0.668
-0.69031783	0.608
-0.68952162	0.848
-0.68872541	0.788
-0.68792919	0.788
-0.68713298	0.908
-0.68633676	0.968
-0.68554055	1.088
-0.68474433	1.088
-0.68394812	1.148
-0.6831519	1.208
-0.68235569	1.148
-0.68155948	1.208
-0.68076326	1.388
-0.67996705	1.448
-0.67917083	1.508
-0.67837462	1.568
-0.6775784	1.568
-0.67678219	1.508
-0.67598598	1.688
-0.67518976	1.748
-0.67439355	1.748
-0.67359733	1.868
-0.67280112	1.688
-0.6720049	1.928
-0.67120869	1.868
-0.67041248	2.108
-0.66961626	2.048
-0.66882005	2.168
-0.66802383	2.228
-0.66722762	2.228
-0.6664314	2.168
-0.66563519	2.228
-0.66483897	2.348
-0.66404276	2.288
-0.66324655	2.468
-0.66245033	2.408
-0.66165412	2.408
-0.6608579	2.588
-0.66006169	2.648
-0.65926547	2.648
-0.65846926	2.648
-0.65767305	2.648
-0.65687683	2.768
-0.65608062	2.648
-0.6552844	2.948
-0.65448819	2.828
-0.65369197	3.068
-0.65289576	2.948
-0.65209955	3.008
-0.65130333	2.948
-0.65050712	3.068
-0.6497109	3.128
-0.64891469	3.188
-0.64811847	3.308
-0.64732226	3.248
-0.64652604	3.428
-0.64572983	3.308
-0.64493362	3.308
-0.6441374	3.488
-0.64334119	3.548
-0.64254497	3.548
-0.64174876	3.428
-0.64095254	3.548
-0.64015633	3.608
-0.63936012	3.668
-0.6385639	3.848
-0.63776769	3.788
-0.63697147	3.788
-0.63617526	3.788
-0.63537904	3.848
-0.63458283	3.848
-0.63378662	3.968
-0.6329904	3.968
-0.63219419	3.848
-0.63139797	3.968
-0.63060176	4.148
-0.62980554	4.088
-0.62900933	4.028
-0.62821312	4.088
-0.6274169	4.208
-0.62662069	4.328
-0.62582447	4.208
-0.62502826	4.268
-0.62423204	4.328
-0.62343583	4.328
-0.62263961	4.328
-0.6218434	4.448
-0.62104719	4.268
-0.62025097	4.448
-0.61945476	4.568
-0.61865854	4.448
-0.61786233	4.628
-0.61706611	4.628
-0.6162699	4.508
-0.61547369	4.628
-0.61467747	4.688
-0.61388126	4.628
-0.61308504	4.688
-0.61228883	4.688
-0.61149261	4.568
-0.6106964	4.628
-0.60990019	4.808
-0.60910397	4.868
-0.60830776	4.868
-0.60751154	4.868
-0.60671533	4.928
-0.60591911	4.928
-0.6051229	4.868
-0.60432668	4.868
-0.60353047	4.868
-0.60273426	4.988
-0.60193804	5.048
-0.60114183	4.928
-0.60034561	4.988
-0.5995494	4.988
-0.59875318	5.048
-0.59795697	4.988
-0.59716076	4.988
-0.59636454	5.108
-0.59556833	4.988
-0.59477211	5.108
-0.5939759	5.228
-0.59317968	5.048
-0.59238347	5.108
-0.59158726	5.228
-0.59079104	5.228
-0.58999483	5.168
-0.58919861	5.168
-0.5884024	5.168
-0.58760618	5.168
-0.58680997	5.288
-0.58601376	5.108
-0.58521754	5.168
-0.58442133	5.108
-0.58362511	5.228
-0.5828289	5.168
-0.58203268	5.228
-0.58123647	5.228
-0.58044025	5.288
-0.57964404	5.228
-0.57884783	5.228
-0.57805161	5.288
-0.5772554	5.168
-0.57645918	5.228
-0.57566297	5.168
-0.57486675	5.288
-0.57407054	5.288
-0.57327433	5.168
-0.57247811	5.288
-0.5716819	5.168
-0.57088568	5.228
-0.57008947	5.108
-0.56929325	5.108
-0.56849704	5.228
-0.56770083	5.228
-0.56690461	5.228
-0.5661084	5.228
-0.56531218	5.108
-0.56451597	5.228
-0.56371975	5.228
-0.56292354	5.168
-0.56212732	5.168
-0.56133111	5.168
-0.5605349	5.168
-0.55973868	5.108
-0.55894247	5.048
-0.55814625	5.108
-0.55735004	5.048
-0.55655382	4.988
-0.55575761	5.108
-0.5549614	5.048
-0.55416518	5.048
-0.55336897	4.988
-0.55257275	5.048
-0.55177654	5.108
-0.55098032	4.988
-0.55018411	4.928
-0.5493879	4.928
-0.54859168	4.928
-0.54779547	4.988
-0.54699925	4.868
-0.54620304	4.868
-0.54540682	4.928
-0.54461061	4.748
-0.54381439	4.748
-0.54301818	4.868
-0.54222197	4.748
-0.54142575	4.808
-0.54062954	4.688
-0.53983332	4.688
-0.53903711	4.808
-0.53824089	4.508
-0.53744468	4.628
-0.53664847	4.568
-0.53585225	4.508
-0.53505604	4.688
-0.53425982	4.448
-0.53346361	4.448
-0.53266739	4.508
-0.53187118	4.448
-0.53107497	4.388
-0.53027875	4.268
-0.52948254	4.328
-0.52868632	4.328
-0.52789011	4.328
-0.52709389	4.328
-0.52629768	4.208
-0.52550147	4.208
-0.52470525	4.148
-0.52390904	4.148
-0.52311282	4.088
-0.52231661	4.088
-0.52152039	4.208
-0.52072418	3.968
-0.51992796	3.968
-0.51913175	3.848
-0.51833554	3.848
-0.51753932	3.788
-0.51674311	3.848
-0.51594689	3.728
-0.51515068	3.668
-0.51435446	3.788
-0.51355825	3.548
-0.51276204	3.728
-0.51196582	3.608
-0.51116961	3.668
-0.51037339	3.608
-0.50957718	3.488
-0.50878096	3.488
-0.50798475	3.428
-0.50718854	3.308
-0.50639232	3.308
-0.50559611	3.368
-0.50479989	3.248
-0.50400368	3.188
-0.50320746	3.248
-0.50241125	3.128
-0.50161503	3.188
-0.50081882	3.008
-0.50002261	3.128
-0.49922639	3.008
-0.49843018	2.828
-0.49763396	3.068
-0.49683775	2.828
-0.49604153	2.768
-0.49524532	2.648
-0.49444911	2.708
-0.49365289	2.708
-0.49285668	2.648
-0.49206046	2.588
-0.49126425	2.588
-0.49046803	2.348
-0.48967182	2.408
-0.48887561	2.288
-0.48807939	2.288
-0.48728318	2.288
-0.48648696	2.228
-0.48569075	2.288
-0.48489453	2.108
-0.48409832	2.108
-0.48330211	1.988
-0.48250589	1.928
-0.48170968	1.988
-0.48091346	1.928
-0.48011725	1.808
-0.47932103	1.928
-0.47852482	1.808
-0.4777286	1.568
-0.47693239	1.748
-0.47613618	1.748
-0.47533996	1.448
-0.47454375	1.508
-0.47374753	1.448
-0.47295132	1.448
-0.4721551	1.328
-0.47135889	1.328
-0.47056268	1.268
-0.46976646	1.148
-0.46897025	1.148
-0.46817403	1.148
-0.46737782	1.088
-0.4665816	1.088
-0.46578539	1.028
-0.46498918	0.848
-0.46419296	0.848
-0.46339675	0.908
-0.46260053	0.728
-0.46180432	0.668
-0.4610081	0.608
-0.46021189	0.608
-0.45941567	0.608
-0.45861946	0.488
-0.45782325	0.368
-0.45702703	0.248
-0.45623082	0.308
-0.4554346	0.308
-0.45463839	0.248
-0.45384217	0.128
-0.45304596	0.068
-0.45224975	0.128
-0.45145353	-0.112
-0.45065732	-0.052
-0.4498611	0.008
-0.44906489	-0.112
-0.44826867	-0.172
-0.44747246	-0.352
-0.44667625	-0.232
-0.44588003	-0.472
-0.44508382	-0.412
-0.4442876	-0.472
-0.44349139	-0.472
-0.44269517	-0.532
-0.44189896	-0.652
-0.44110274	-0.712
-0.44030653	-0.832
-0.43951032	-0.772
-0.4387141	-0.712
-0.43791789	-0.952
-0.43712167	-0.952
-0.43632546	-1.012
-0.43552924	-1.072
-0.43473303	-1.012
-0.43393682	-1.192
-0.4331406	-1.192
-0.43234439	-1.312
-0.43154817	-1.132
-0.43075196	-1.372
-0.42995574	-1.372
-0.42915953	-1.432
-0.42836332	-1.492
-0.4275671	-1.552
-0.42677089	-1.732
-0.42597467	-1.672
-0.42517846	-1.732
-0.42438224	-1.792
-0.42358603	-1.672
-0.42278982	-1.792
-0.4219936	-1.912
-0.42119739	-1.912
-0.42040117	-1.972
-0.41960496	-1.972
-0.41880874	-2.092
-0.41801253	-2.152
-0.41721631	-2.152
-0.4164201	-2.212
-0.41562389	-2.452
-0.41482767	-2.272
-0.41403146	-2.332
-0.41323524	-2.392
-0.41243903	-2.452
-0.41164281	-2.572
-0.4108466	-2.512
-0.41005039	-2.572
-0.40925417	-2.572
-0.40845796	-2.692
-0.40766174	-2.692
-0.40686553	-2.752
-0.40606931	-2.932
-0.4052731	-2.812
-0.40447689	-2.872
-0.40368067	-2.812
-0.40288446	-2.992
-0.40208824	-2.992
-0.40129203	-3.112
-0.40049581	-3.172
-0.3996996	-3.232
-0.39890338	-3.352
-0.39810717	-3.352
-0.39731096	-3.292
-0.39651474	-3.352
-0.39571853	-3.412
-0.39492231	-3.412
-0.3941261	-3.352
-0.39332988	-3.532
-0.39253367	-3.412
-0.39173746	-3.412
-0.39094124	-3.532
-0.39014503	-3.532
-0.38934881	-3.772
-0.3885526	-3.772
-0.38775638	-3.772
-0.38696017	-3.772
-0.38616396	-3.712
-0.38536774	-3.832
-0.38457153	-3.892
-0.38377531	-3.892
-0.3829791	-3.952
-0.38218288	-3.952
-0.38138667	-3.952
-0.38059046	-4.072
-0.37979424	-4.192
-0.37899803	-4.012
-0.37820181	-4.132
-0.3774056	-4.132
-0.37660938	-4.252
-0.37581317	-4.252
-0.37501695	-4.072
-0.37422074	-4.432
-0.37342453	-4.372
-0.37262831	-4.312
-0.3718321	-4.492
-0.37103588	-4.312
-0.37023967	-4.552
-0.36944345	-4.432
-0.36864724	-4.552
-0.36785103	-4.492
-0.36705481	-4.492
-0.3662586	-4.612
-0.36546238	-4.612
-0.36466617	-4.552
-0.36386995	-4.672
-0.36307374	-4.732
-0.36227753	-4.672
-0.36148131	-4.732
-0.3606851	-4.732
-0.35988888	-4.792
-0.35909267	-4.792
-0.35829645	-4.852
-0.35750024	-4.852
-0.35670402	-4.732
-0.35590781	-4.792
-0.3551116	-4.972
-0.35431538	-4.912
-0.35351917	-4.852
-0.35272295	-4.852
-0.35192674	-4.852
-0.35113052	-4.972
-0.35033431	-4.972
-0.3495381	-5.032
-0.34874188	-5.032
-0.34794567	-4.912
-0.34714945	-5.032
-0.34635324	-5.092
-0.34555702	-5.032
-0.34476081	-5.032
-0.3439646	-5.032
-0.34316838	-4.972
-0.34237217	-5.092
-0.34157595	-5.032
